======================================================================================================================================================
**********         WAFER SUMMARY         **********
EQUIP_ID,TECH_ID,TEST_TYPE,PARD_ID,LOT_ID,WAFER_ID,LIMIT_FILE,TEST_START_TIME,TEST_FINISH_TIME,OPERATOR_ID,TOTAL_SITES,TOTAL_PARA,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,TEST_PLAN,PC_ID,PCM_COUNT,CLEAN_COUNT,PRODUCT_ID,TEMPERATURE,LOT_START_TIME,LOT_END_TIME,RECIPE_ID
DESKTOP-KH72C30,TECH_ID,TEST_TYPE,PXW,PXW_BEOL_HALFMAP,24,LIMIT_FILE,2026-01-15 14:13:43,2026-01-15 18:49:20,wat,31,4192,TOTAL_YIELD,WAFER_JUDGMENT,MES_STEP,D:\GM_Workspace\PXW\testplan\BEOL_HALFMAP.tple,PXW,8060,CLEAN_COUNT,PXW,TEMPERATURE,2026-01-15 14:12:06,2026-01-15 18:49:20,BEOL_HALFMAP.tple,
======================================================================================================================================================
**********         WAFER RAW DATA         **********
MODULE,DEVICE,ITEM,OUTPUT,UNIT,SPEC._LOW,SPEC._HIGH,VALID_LOW,VALID_HIGH,AVERAGE,ST_DEVI,MAX,MIN,RANGE,Site_1_Value(-3 -3),Site_2_Value(-1 -3),Site_3_Value(1 -3),Site_4_Value(3 -3),Site_5_Value(4 -2),Site_6_Value(2 -2),Site_7_Value(0 -2),Site_8_Value(-2 -2),Site_9_Value(-4 -2),Site_10_Value(-3 -1),Site_11_Value(-1 -1),Site_12_Value(1 -1),Site_13_Value(3 -1),Site_14_Value(4 0),Site_15_Value(2 0),Site_16_Value(0 0),Site_17_Value(-2 0),Site_18_Value(-4 0),Site_19_Value(-3 1),Site_20_Value(-1 1),Site_21_Value(1 1),Site_22_Value(3 1),Site_23_Value(4 2),Site_24_Value(2 2),Site_25_Value(0 2),Site_26_Value(-2 2),Site_27_Value(-4 2),Site_28_Value(-3 3),Site_29_Value(-1 3),Site_30_Value(1 3),Site_31_Value(3 3),
HOL_B01_01,R449,R[449],R[449],,-1e+32,1e+32,-1e+32,1e+32,-279775373478.765,5775801896143.67,29940820740188.5,-7048792662404.47,36989613402592.9,-549623142682.28,-1152105031116.26,-758343155732.539,-520946929517.953,-1119802480665.54,-788278106406.838,-982119828281.869,-1302382523425.79,-936082317711.139,-2922490031968.49,-7048792662404.47,-348306642012.197,-692590178854.795,-1089261916176.17,-692590178854.795,-2723221243693.5,-4608658026168.75,-617618385469.573,-804149668293.532,-590236048181.569,-392844473940.682,-914645025231.651,-758343155732.539,-1497744271897.3,-573291327552.926,-758343155732.539,29940820740188.5,-1497744271897.3,-396746925613.512,-788278106406.838,-788278106406.838,
HOL_B01_01,R442,R[442],R[442],,-1e+32,1e+32,-1e+32,1e+32,4509594488465.9,33682568160765.4,185824541241150,-5887782476719.57,191712323717870,-786624038940.068,1467894359839.1,-5887782476719.57,-1387830130325.82,-5887782476719.57,-598168831735.322,185824541241150,-1218505217168.18,-1116353094916.57,-4082640642018.82,-872528124321.785,-598168831735.322,-2246200385678.35,-1086005058662.72,-703508028698.849,-534180740163.661,-1148446022332.82,-1549299484524.82,-1753288711917.72,-1549299484524.82,-1057263375240.36,-1387830130325.82,-3124650530505.94,-1833770106009.59,-1148446022332.82,-1004114557032.2,-1297667436365.15,-836009226150.358,-471176597982.992,-836009226150.358,-1491457469346.28,
HOL_B01_01,R441,R[441],R[441],,-1e+32,1e+32,-1e+32,1e+32,-756789902236.047,328620767190.27,-392296565990.309,-1749963098885.69,1357666532895.38,-932738517047.223,-635815603977.022,-1216876283257.01,-526809512773.959,-519952422945.935,-1146995045559.1,-541080975664.134,-494220796508.929,-1749963098885.69,-742125493282.307,-702947334871.694,-728589721767.291,-439807362437.557,-715538868876.643,-1676518499737.49,-785928536821.31,-871678079183.257,-625854054959.848,-635815603977.022,-541080975664.134,-513271546808.929,-606838932543.075,-1002997809912.84,-690791290795.397,-667698322557.15,-597758185220.662,-597758185220.662,-1084704029488.29,-667698322557.15,-392296565990.309,-408336990025.429,
HOL_B01_01,R440,R[440],R[440],,-1e+32,1e+32,-1e+32,1e+32,-7598242164651.67,42280648710168.5,48655928688167.5,-222727190895924,271383119584092,-1722765121759.52,8283522432138.29,-33861487764230.8,-4350279352301.34,4066148463370.95,-33861487764230.8,-4350279352301.34,-2816253407097.4,-12560189969739.2,2240789914396.63,2524062881450.63,-222727190895924,4066148463370.95,5105989549732.65,-1800439620004.09,-2468122724958.08,-946731710181.853,1216685091799.25,1608836655048.34,3114684452396.72,1546528663730.46,2240789914396.63,48655928688167.5,21932346051673.4,-6462308531570.21,5854590293937.1,-6462308531570.21,-4350279352301.34,5854590293937.1,-9554848427323.95,-5562176388254.04,
HOL_B01_01,R439,R[439],R[439],,-1e+32,1e+32,-1e+32,1e+32,-4761198742694.99,16022979466758.4,-610434462403.348,-90848030577699.9,90237596115296.6,-1455797289503.31,-2429888172117.18,-2429888172117.18,-6203177232717.77,-987807646278.204,-919588428432.765,-2054899807042.8,-1231412213956.72,-1704229950363.36,-1780177013074.06,-1127172173733.73,-3211221004067.15,-90848030577699.9,-4231767664941.53,-987807646278.204,-2166338651346.78,-3211221004067.15,-610434462403.348,-1455797289503.31,-1270579632225.82,-4231767664941.53,-1704229950363.36,-1404608393233.34,-1780177013074.06,-1012853664194.8,-1012853664194.8,-791968361077.185,-1194587365046.02,-1510858308359.39,-1404608393233.34,-1231412213956.72,
HOL_B01_01,R438,R[438],R[438],,-1e+32,1e+32,-1e+32,1e+32,702551954825.262,12993625415136.9,69288461887468,-5383851386364.99,74672313273833,-1636370934390.66,-777186496887.769,-5383851386364.99,-2057612216003.37,-777186496887.769,-1013753731280.66,-899651901998.404,-1706232045030.18,-1512512296090.45,7166374216475.49,-1232617865410.37,-2433472934132.92,-4744682204530.48,-5383851386364.99,-3834274438759.75,-4241171614055.89,-2591252937989.33,-1865520279644.33,-1782324300480.65,6076729277978.9,-708315317671.5,-1040137626114.04,-1232617865410.37,-1512512296090.45,-1782324300480.65,-2433472934132.92,-964807552687.599,69288461887468,-1956863460949.45,-4744682204530.48,-503195757968.792,
HOL_B01_01,R437,R[437],R[437],,-1e+32,1e+32,-1e+32,1e+32,-1199038245941.06,1079472312590.83,-432393740189.597,-5393825153348.9,4961431413159.3,-1572608165588.65,-1272184757434.08,-4752301525503.69,-551826599080.547,-1040323389083.19,-432393740189.597,-575678081907.13,-879948783288.192,-942197806769.26,-696012473872.395,-899763952677.333,-964951901366.216,-1866446029426.27,-860987571820.667,-920492098682.143,-1097471713000.72,-748140590799.698,-964951901366.216,-1272184757434.08,-825415331816.806,-748140590799.698,-777246682625.792,-825415331816.806,-879948783288.192,-5393825153348.9,-988832217860.33,-1358704879325.66,-879948783288.192,-964951901366.216,-544309328000.762,-672580801345.371,
HOL_B01_01,R434,R[434],R[434],,-1e+32,1e+32,-1e+32,1e+32,2333758467837.75,4105676548291.89,14106021315762.9,-7727959048187.18,21833980363950.1,871489220238.026,756019840448.728,1146710553820.66,-2198407388104.55,-7727959048187.18,1435123462843.08,10424462219856.9,1488609910058.71,14106021315762.9,3375867081135.83,1676001523398.25,2522919555454.82,10424462219856.9,715396570199.213,770605938376.596,10424462219856.9,1488609910058.71,1829541029322.05,556046708390.378,835049276328.639,1917366581222.15,1028588974175.2,588836572933.188,2014049294543.29,519860609103.258,1055777640539.02,1546237531842.44,4062609730057.75,1676001523398.25,-1046457804017.43,4062609730057.75,
HOL_B01_01,R433,R[433],R[433],,-1e+32,1e+32,-1e+32,1e+32,-778139961638.842,241100521480.249,-407712546363.411,-1479928754492.29,1072216208128.88,-908110866537.433,-665939510964.746,-579075197591.712,-554946362109.51,-700990247485.222,-644456865177.875,-998926710803.285,-850143758673.349,-624316928715.897,-539947387047.998,-1175218760349.8,-459263650217.077,-499450272248.751,-579075197591.712,-407712546363.411,-783463077026.773,-783463077026.773,-1479928754492.29,-753897263646.068,-799132995293.176,-532747887400.127,-1109925028582.3,-908110866537.433,-929230753124.236,-634227050864.53,-850143758673.349,-1051504700243.16,-700990247485.222,-799132995293.176,-677227022217.794,-1141639071019.93,
HOL_B01_01,R544,R[544],R[544],,-1e+32,1e+32,-1e+32,1e+32,-1956418384424.28,3272756224591.82,-578042233203.145,-18932295544937.4,18354253311734.2,-2334796553562.04,-1076487791303.81,-1244112412306.82,-971745795880.016,-18932295544937.4,-1590936836014.53,-2090444116826.29,-752183880237.056,-1806802714357.72,-1284103073178.05,-1244112412306.82,-752183880237.056,-813449019671.014,-2205874022644.63,-1171165492377.93,-797215776383.582,-3298785950279.62,-4925792568709.63,-1021438660181.25,-1021438660181.25,-1106299078766.22,-687463270656.718,-738282884970.11,-1021438660181.25,-1473568152634.66,-578042233203.145,-905655736753.773,-1171165492377.93,-632997855794.153,-1106299078766.22,-1892392311471.91,
